Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Name of Facility,Street Address,Total Fires
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Dairy Unit  #1,5501 N. Sierra Vista,0
2015,110556,California State University-Fresno,114700,1,Main Campus,24136,Calf Barn,2651 E. Barstow,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Acacia,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Birch,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Cypress,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Elm,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Fig,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Holly,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Juniper,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Manzanita,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Oak,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Pine,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Sycamore,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Valencia,800 N. State College,0
2015,110565,California State University-Fullerton,113700,1,Main Campus,38948,Willow,800 N. State College,0
2015,110565,California State University-Fullerton,113700,4,Grand Central Arts Center,38948,GCAC Apartments,"125 N Broadway, Santa Ana, CA 92701",0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,Parkside College,"1601 Earl Warren Dr, CA",0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,Hillside College,"5851 Beach Dr, Long Beach, CA",0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,Los Cerritos Hall,"5855 Beach Dr, Long Beach, CA",0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,Los Alamitos Hall,"5859 Beach Dr, Long Beach, CA",0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,International House,"5854 Beach Dr, Long Beach, CA",0
2015,110583,California State University-Long Beach,113900,1,Main Campus,37446,Beachside College,"4835 Pacific Coast Hwy, Long B",0
2015,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27680,"CSULA Housing, Phase 1",5600 Paseo Rancho Castilla,1
2015,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27680,CSULA Golden Eagle Apartments,5425 Dobbs Street,0
2015,110592,California State University-Los Angeles,114000,1,California State University- Los Angeles,27680,"CSULA Housing, Phase 2",5300 Paseo Rancho Castilla,2
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Cypress Hall,"6143 Fifth Avenue, Seaside, CA",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Asilomar Hall,"3059 Divarty Street, Seaside,",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Willet Hall,"6142 Fifth Avenue, Seaside, CA",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Manzanita Hall,"3057 Divarty Street, Seaside,",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Yarrow Hall,"3053 Divarty Street, Seaside,",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Acocet Hall,"3043 Divarty Street, Seaside,",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Tortuga Hall,"5105 Fourth Avenue, Seaside, C",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Sanderling Hall,"5101 Fourth Avenue, Seaside, C",0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Strawberry Apartments,6013 General Jim Moore Bouleva,0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Pinnacles Suites,6011 General Jim Moore Bouleva,1
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Vinyard Suites,6015 General Jim Moore Bouleva,0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Frederick Park 1,East Campus Housing,0
2015,409698,California State University-Monterey Bay,3260300,1,California State University- Monterey Bay,7102,Frederick Park 2,East Campus Housing,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-1 Chantreral Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-2 Carragheen Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-3 Woodruff Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-4 Burdock Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-5 Southernwood Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-6 Pacific Willow Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-7 Torrey Pine Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-8 Baybery Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-9 Pinon Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-10 Valley Oak Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA 11 Lupine Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-12 Saguaro Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-13 Heater Hall,17950 Lassen Street,1
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-14 Rose Crown Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-15 Bougainvillea Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-16 Mariposa Hall,17950 Lassen Street,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UPA-17 Toyon Hall,17950 Lassen Street,1
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UVA-A,10021 Zelzah Avenue,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UVA-B,10021 Zelzah Avenue,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UVA-C,10021 Zelzah Avenue,0
2015,110608,California State University-Northridge,115300,1,California State University- Northridge,41548,UVA-D,10021 Zelzah Avenue,0
